,gdd,standard_day_degree,daily_mean_temperature,daily_max_above_Tbase,daily_max,daily_max_reduction,ontario_units
1687989600000.0,13.0,22.2,32.2,31.2,41.2,12.8,27.984
1688076000000.0,21.3,12.95,22.95,17.6,27.6,17.6,28.804
1688162400000.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272
1688248800000.0,45.2,16.7,26.7,26.2,36.2,17.8,26.313
1688335200000.0,55.8,17.05,27.05,25.4,35.4,18.6,28.064
1688421600000.0,68.0,16.35,26.35,24.1,34.1,19.9,28.512
1688508000000.0,79.3,17.25,27.25,24.9,34.9,19.1,29.098
1688594400000.0,86.1,13.1,23.1,19.5,29.5,19.5,27.567
1688680800000.0,99.5,14.8,24.8,24.3,34.3,19.7,25.469
1688767200000.0,110.4,16.95,26.95,27.5,37.5,16.5,24.825
1688853600000.0,123.3,19.3,29.3,28.9,38.9,15.1,26.81
1688940000000.0,140.5,21.1,31.1,30.9,40.9,13.1,26.556
1689026400000.0,155.3,21.85,31.85,31.5,41.5,12.5,26.793
1689112800000.0,172.0,19.65,29.65,28.5,38.5,15.5,28.098
1689199200000.0,184.7,17.5,27.5,25.7,35.7,18.3,28.46
1689285600000.0,199.2,18.55,28.55,27.0,37.0,17.0,28.467
1689372000000.0,212.6,20.35,30.35,30.1,40.1,13.9,26.644
1689458400000.0,229.5,19.45,29.45,31.1,41.1,12.9,23.219
1689544800000.0,247.0,20.95,30.95,31.4,41.4,12.6,25.361
1689631200000.0,265.0,20.35,30.35,31.3,41.3,12.7,24.468
1689717600000.0,283.8,21.55,31.55,30.4,40.4,13.6,28.271
1689804000000.0,297.8,19.3,29.3,28.7,38.7,15.3,27.141
1689890400000.0,311.2,20.1,30.1,27.5,37.5,16.5,30.495
1689976800000.0,319.6,16.05,26.05,24.3,34.3,19.7,27.719
1690063200000.0,329.8,17.6,27.6,27.7,37.7,16.3,25.684
1690149600000.0,344.7,15.65,25.65,25.3,35.3,18.7,25.681
1690236000000.0,357.4,15.05,25.05,23.3,33.3,20.7,27.153
1690322400000.0,364.3,15.5,25.5,24.2,34.2,19.8,26.856
1690408800000.0,373.1,14.55,24.55,24.5,34.5,19.5,24.762
1690495200000.0,385.8,14.8,24.8,24.6,34.6,19.4,25.082
1690581600000.0,400.4,17.8,27.8,27.9,37.9,16.1,25.73
1690668000000.0,415.9,18.2,28.2,28.3,38.3,15.7,25.812
1690754400000.0,427.7,18.2,28.2,26.8,36.8,17.2,28.136
1690840800000.0,441.5,15.45,25.45,23.0,33.0,21.0,28.227
1690927200000.0,456.2,17.4,27.4,26.4,36.4,17.6,27.284
1691013600000.0,471.8,18.25,28.25,25.2,35.2,18.8,30.496
1691100000000.0,480.7,14.4,24.4,20.1,30.1,20.1,29.368
1691186400000.0,488.4,14.15,24.15,22.1,32.1,21.9,26.903
1691272800000.0,497.5,14.5,24.5,24.1,34.1,19.9,25.182
1691359200000.0,504.0,11.7,21.7,23.3,33.3,20.7,21.123
1691445600000.0,510.7,13.2,23.2,24.6,34.6,19.4,22.202
1691532000000.0,518.8,15.25,25.25,26.5,36.5,17.5,23.268
1691618400000.0,532.3,15.1,25.1,25.9,35.9,18.1,23.859
1691704800000.0,545.0,17.15,27.15,27.0,37.0,17.0,25.947
1691791200000.0,558.4,16.7,26.7,27.0,37.0,17.0,25.137
1691877600000.0,573.7,18.2,28.2,28.1,38.1,15.9,26.133
1691964000000.0,586.0,18.9,28.9,28.5,38.5,15.5,26.748
1692050400000.0,601.1,19.5,29.5,29.6,39.6,14.4,25.985
1692136800000.0,613.4,19.15,29.15,29.1,39.1,14.9,26.205
1692223200000.0,626.4,18.4,28.4,27.8,37.8,16.2,26.968
1692309600000.0,640.8,19.7,29.7,29.7,39.7,14.3,26.173
1692396000000.0,653.5,20.35,30.35,30.9,40.9,13.1,25.206
1692482400000.0,669.5,19.25,29.25,30.0,40.0,14.0,24.84
1692568800000.0,682.7,21.85,31.85,31.9,41.9,12.1,26.034
1692655200000.0,694.9,21.9,31.9,32.0,42.0,12.0,25.932
1692741600000.0,709.9,22.7,32.7,33.7,43.7,10.3,23.982
1692828000000.0,724.4,20.85,30.85,32.6,42.6,11.4,22.873
1692914400000.0,742.0,20.85,30.85,32.1,42.1,11.9,23.849
1693000800000.0,755.2,18.35,28.35,28.4,38.4,15.6,25.92
1693087200000.0,767.8,14.5,24.5,19.5,29.5,19.5,30.087
1693173600000.0,775.0,15.05,25.05,22.9,32.9,21.1,27.623
1693260000000.0,781.1,9.5,19.5,14.6,24.6,14.6,24.356
1693346400000.0,790.0,13.65,23.65,21.9,31.9,21.9,26.22
1693432800000.0,798.9,12.8,22.8,22.4,32.4,21.6,24.142
1693519200000.0,808.7,14.05,24.05,24.5,34.5,19.5,23.862
