id,device_identifier,ts_generation,co2,humidity,pressure,temperature,battery
32234,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688043749456,472,39.5,1010.9,41.2,100.0
32243,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688044308221,467,46.0,1010.8,40.2,
32254,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688044908191,463,38.0,1010.6,39.7,
32264,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688045508203,436,35.0,1010.6,39.4,
32274,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688046108167,427,33.0,1010.3,39.8,
32284,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688046708148,450,32.5,1010.1,38.7,
32297,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688047308111,472,30.0,1010.1,40.6,
32307,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688047908086,442,31.5,1010.0,35.9,
32316,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688048507727,442,35.0,1009.9,34.9,
32326,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688049107749,433,35.0,1009.9,34.7,
32336,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688049707658,443,34.5,1009.7,34.2,
32345,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688050307613,442,35.0,1009.7,33.6,
32355,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688050907599,433,35.0,1009.6,33.8,
32365,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688051507573,456,35.0,1009.5,34.2,
32375,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688052107570,448,34.5,1009.4,34.5,
32387,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688052707537,448,36.0,1009.2,34.5,
32397,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688053307493,454,35.5,1009.2,34.6,
32408,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688053907497,428,35.0,1009.0,34.6,
32418,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688054507432,424,35.5,1009.1,34.2,
32428,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688055107423,449,36.5,1009.1,33.9,
32438,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688055707424,436,37.0,1009.1,33.9,
32447,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688056309091,434,35.0,1009.2,33.9,
32456,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688056907340,440,34.5,1009.0,33.9,
32465,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688057507321,444,35.0,1009.0,34.0,
32474,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688058107291,440,37.0,1008.9,33.2,
32483,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688058707271,446,36.5,1008.9,33.1,
32492,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688059307252,449,38.0,1008.9,32.7,
32501,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688059907218,446,38.0,1009.0,31.7,
32510,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688060508882,452,40.0,1009.1,30.7,
32519,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688061107165,461,46.0,1009.1,29.3,
32528,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688061707113,464,44.5,1009.2,28.4,
32536,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688062307089,450,45.5,1009.2,27.8,
