id,ts_generation,device_identifier,line,electrical_conductivity,humidity,temperature,battery
32299,1688047456101,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,723,31.9,29.1,NULL
32309,1688048057491,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,723,31.9,29,NULL
32319,1688048658856,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,723,31.74,29,NULL
32329,1688049260229,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,722,31.74,29,NULL
32348,1688050462965,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,723,31.61,28.9,NULL
32358,1688051064328,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,720,31.55,28.8,NULL
32368,1688051665689,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,720,31.48,28.8,NULL
32378,1688052267071,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,721,31.48,28.7,NULL
32390,1688052868426,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,722,31.41,28.7,NULL
32401,1688053469799,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,722,31.41,28.7,NULL
32411,1688054071159,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,723,31.41,28.6,NULL
32421,1688054672525,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,723,31.41,28.6,NULL
32431,1688055273890,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,726,31.35,28.5,NULL
32440,1688055875258,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,725,31.35,28.4,NULL
32449,1688056476631,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,726,31.35,28.4,NULL
32458,1688057077971,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,726,31.35,28.3,NULL
32467,1688057679343,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,727,31.21,28.3,NULL
32476,1688058280707,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,728,31.21,28.2,NULL
32485,1688058882065,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,729,31.21,28.1,NULL
32494,1688059483421,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,730,31.21,28.1,NULL
32503,1688060084780,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,730,31.21,28,NULL
32512,1688060686155,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,731,31.21,28,NULL
32521,1688061287511,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,732,31.21,27.9,NULL
32530,1688061888871,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,732,31.13,27.9,NULL
32537,1688062490235,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,733,31.13,27.8,NULL
32547,1688063091610,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,734,31.13,27.7,NULL
32556,1688063692951,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,733,31.13,27.7,NULL
32565,1688064294320,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,735,31.13,27.6,NULL
32575,1688064895700,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,734,31.13,27.6,NULL
32584,1688065497045,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,735,31.07,27.5,NULL
32593,1688066098418,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,735,31.07,27.5,NULL
32602,1688066699768,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,734,31.07,27.4,NULL
32611,1688067301134,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,735,31.07,27.4,NULL
32620,1688067902507,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,735,31,27.3,NULL
32630,1688068503875,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,735,31,27.2,NULL
32639,1688069105216,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,735,31,27.2,NULL
32648,1688069706606,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,735,31,27.1,NULL
32657,1688070307954,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,735,31,27,NULL
32666,1688070909308,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,735,31,27,NULL
32675,1688071510689,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,736,30.93,26.9,NULL
32684,1688072112050,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,736,30.93,26.8,NULL
32692,1688072713405,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,736,30.93,26.8,NULL
32701,1688073314774,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,736,30.93,26.7,NULL
32710,1688073916131,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,736,30.93,26.7,NULL
32719,1688074517487,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,737,30.86,26.6,NULL
32728,1688075118840,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,737,30.86,26.6,NULL
32737,1688075720201,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,737,30.86,26.5,NULL
32746,1688076321556,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,737,30.86,26.5,NULL
32755,1688076922917,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,737,30.86,26.4,NULL
32764,1688077524296,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,737,30.86,26.4,NULL
32773,1688078125640,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,737,30.86,26.3,NULL
32782,1688078726989,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,737,30.8,26.3,NULL
32791,1688079328345,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,737,30.8,26.2,NULL
32800,1688079929712,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,737,30.8,26.2,NULL
32809,1688080531086,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,738,30.8,26.1,NULL
32818,1688081132433,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,738,30.8,26.1,NULL
32827,1688081733799,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,737,30.8,26.1,NULL
32836,1688082335165,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,737,30.66,26,NULL
32845,1688082936542,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,737,30.66,26,NULL
32854,1688083537897,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,738,30.66,25.9,NULL
32863,1688084139272,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,739,30.66,25.9,NULL
32872,1688084740645,9d5fe860849cee394ff52cd69a6d69642ea9f4756dac178e8ac998373f88563d,2,739,30.66,25.9,NULL
