dt,current_volume_L1,water_missing_L1,current_volume_L2,water_missing_L2,current_volume_L3,water_missing_L3,electrical_conductivity_L1,humidity_L1,temperature_L1,soil_missing_L1,electrical_conductivity_L2,humidity_L2,temperature_L2,soil_missing_L2,electrical_conductivity_L3,humidity_L3,temperature_L3,soil_missing_L3,co2_env,humidity_env,temperature_env,pressure_env,env_missing,gdd_yesterday,standard_day_degree_yesterday,daily_mean_temperature_yesterday,daily_max_above_Tbase_yesterday,daily_max_yesterday,daily_max_reduction_yesterday,ontario_units_yesterday
2023-06-29 18:10:00,154.0,0.0,165.0,0,0.0,0.0,517.0,23.35,28.3,0.0,726.0,31.35,28.5,0.0,1022.0,44.38,27.7,0.0,449.0,36.5,33.9,1009.1,0.0,13.0,22.2,32.2,31.2,41.2,12.8,27.984
2023-06-29 18:20:00,154.0,0.0,165.0,0,0.0,0.0,519.0,23.35,28.4,0.0,725.0,31.35,28.4,0.0,1023.0,44.29,27.6,0.0,436.0,37.0,33.9,1009.1,0.0,13.0,22.2,32.2,31.2,41.2,12.8,27.984
2023-06-29 18:30:00,154.0,0.0,165.0,0,0.0,0.0,521.0,23.35,28.5,0.0,726.0,31.35,28.4,0.0,1024.0,44.29,27.6,0.0,434.0,35.0,33.9,1009.2,0.0,13.0,22.2,32.2,31.2,41.2,12.8,27.984
2023-06-29 18:40:00,154.0,0.0,165.0,0,0.0,0.0,521.0,23.35,28.6,0.0,726.0,31.35,28.3,0.0,1024.0,44.29,27.5,0.0,440.0,34.5,33.9,1009.0,0.0,13.0,22.2,32.2,31.2,41.2,12.8,27.984
2023-06-29 18:50:00,154.0,0.0,165.0,0,0.0,0.0,522.0,23.35,28.7,0.0,727.0,31.21,28.3,0.0,1025.0,44.18,27.5,0.0,444.0,35.0,34.0,1009.0,0.0,13.0,22.2,32.2,31.2,41.2,12.8,27.984
2023-06-29 19:00:00,154.0,0.0,165.0,0,0.0,0.0,522.0,23.35,28.7,0.0,728.0,31.21,28.2,0.0,1025.0,44.18,27.4,0.0,440.0,37.0,33.2,1008.9,0.0,13.0,22.2,32.2,31.2,41.2,12.8,27.984
2023-06-29 19:10:00,154.0,0.0,165.0,0,0.0,0.0,523.0,23.29,28.8,0.0,729.0,31.21,28.1,0.0,1026.0,44.18,27.3,0.0,446.0,36.5,33.1,1008.9,0.0,13.0,22.2,32.2,31.2,41.2,12.8,27.984
2023-06-29 19:20:00,154.0,0.0,165.0,0,0.0,0.0,523.0,23.29,28.8,0.0,730.0,31.21,28.1,0.0,1027.0,43.99,27.3,0.0,449.0,38.0,32.7,1008.9,0.0,13.0,22.2,32.2,31.2,41.2,12.8,27.984
2023-06-29 19:30:00,154.0,0.0,165.0,0,0.0,0.0,523.0,23.35,28.8,0.0,730.0,31.21,28.0,0.0,1028.0,43.99,27.2,0.0,446.0,38.0,31.7,1009.0,0.0,13.0,22.2,32.2,31.2,41.2,12.8,27.984
2023-06-29 19:40:00,154.0,0.0,165.0,0,0.0,0.0,524.0,23.29,28.9,0.0,731.0,31.21,28.0,0.0,1028.0,43.99,27.2,0.0,452.0,40.0,30.7,1009.1,0.0,13.0,22.2,32.2,31.2,41.2,12.8,27.984
